LGACODE,LGA,Year,Deaths,Population
LGA13660,Gwydir (A),2013,47.38457,5079.8914
LGA13660,Gwydir (A),2014,54.943646,5050.555
LGA13700,Harden (A),2010,33.461629,3658.505
LGA13700,Harden (A),2011,35.164455,3694.998
LGA13700,Harden (A),2012,27.669375,3732.2706
LGA13700,Harden (A),2013,35.417054,3753.6374
LGA13700,Harden (A),2014,30.874649,3765.613
LGA13800,Hawkesbury (C),2010,327.34795,64008.102
LGA13800,Hawkesbury (C),2011,341.16376,64355.298
LGA13800,Hawkesbury (C),2012,349.80988,64697.652
LGA13800,Hawkesbury (C),2013,340.88084,65117.272
LGA13800,Hawkesbury (C),2014,385.97179,65471.657
LGA13850,Hay (A),2010,29.581623,3109.0286
LGA13850,Hay (A),2011,19.721082,3041.9769
LGA13850,Hay (A),2012,23.665298,3015.3534
LGA13850,Hay (A),2013,26.623461,2961.1205
LGA13850,Hay (A),2014,26.623461,2986.7579
LGA13950,Holroyd (C),2010,605.20724,102241.87
LGA13950,Holroyd (C),2011,603.16426,104086.63
LGA13950,Holroyd (C),2012,581.85443,106186.32
LGA13950,Holroyd (C),2013,644.80028,108847.88
LGA13950,Holroyd (C),2014,643.77847,111097.97
LGA14000,Hornsby (A),2010,1029.0725,162659.84
LGA14000,Hornsby (A),2011,1135.3094,163801.37
LGA14000,Hornsby (A),2012,1116.6754,165201.3
LGA14000,Hornsby (A),2013,1091.6693,166906.77
LGA14000,Hornsby (A),2014,1152.9222,168688.36
LGA14100,Hunters Hill (A),2010,165.69654,13893.05
LGA14100,Hunters Hill (A),2011,168.13919,13894.354
LGA14100,Hunters Hill (A),2012,150.40967,14134.591
LGA14100,Hunters Hill (A),2013,173.83593,14464.148
LGA14100,Hunters Hill (A),2014,185.64738,14633.639
LGA14150,Hurstville (C),2010,510.90625,81745.425
LGA14150,Hurstville (C),2011,588.09554,82807.716
LGA14150,Hurstville (C),2012,517.12704,83747.214
LGA14150,Hurstville (C),2013,583.15328,84830.423
LGA14150,Hurstville (C),2014,621.89693,85828.115
LGA14200,Inverell (A),2010,154.8405,16471.935
LGA14200,Inverell (A),2011,162.90929,16583.071
LGA14200,Inverell (A),2012,180.08602,16697.207
LGA14200,Inverell (A),2013,172.18202,16788.341
LGA14200,Inverell (A),2014,172.42927,16908.614
LGA14250,Jerilderie (A),2010,14.054794,1545.5914
LGA14250,Jerilderie (A),2011,18.473856,1540.8847
LGA14250,Jerilderie (A),2012,17.583479,1544.8544
LGA14250,Jerilderie (A),2013,18.668466,1546.5886
LGA14250,Jerilderie (A),2014,17.554208,1554.1489
LGA14300,Junee (A),2010,42.407799,6113.9048
LGA14300,Junee (A),2011,50.372338,6132.9934
LGA14300,Junee (A),2012,41.350175,6148.1043
LGA14300,Junee (A),2013,48.421097,6197.9961
LGA14300,Junee (A),2014,50.407799,6245.036
LGA14350,Kempsey (A),2010,277.43262,28980.046
LGA14350,Kempsey (A),2011,290.58352,29127.119
LGA14350,Kempsey (A),2012,316.62577,29301.883
LGA14350,Kempsey (A),2013,324.62577,29356.853
LGA14350,Kempsey (A),2014,333.60162,29623.551
LGA14400,Kiama (A),2010,170.59239,20527.061
LGA14400,Kiama (A),2011,180.28661,20807.806
LGA14400,Kiama (A),2012,200.57326,20866.882
LGA14400,Kiama (A),2013,173.17193,21060.767
LGA14400,Kiama (A),2014,178.2675,21301.666
LGA14450,Kogarah (C),2010,329.25236,58522.12
LGA14450,Kogarah (C),2011,345.26848,58909.078
LGA14450,Kogarah (C),2012,319.48371,59725.214
LGA14450,Kogarah (C),2013,331.81784,60376.372
LGA14450,Kogarah (C),2014,323.37056,60992.357
LGA14500,Ku-ring-gai (A),2010,809.69229,112648.15
LGA14500,Ku-ring-gai (A),2011,776.4233,114604.97
LGA14500,Ku-ring-gai (A),2012,731.86824,116593.8
LGA14500,Ku-ring-gai (A),2013,768.54833,118956.81
LGA14500,Ku-ring-gai (A),2014,796.32277,120887.5
LGA14550,Kyogle (A),2010,65.819559,9530.681
LGA14550,Kyogle (A),2011,80.725886,9533.2474
LGA14550,Kyogle (A),2012,64.368664,9539.8058
LGA14550,Kyogle (A),2013,69.307215,9560.5874
LGA14550,Kyogle (A),2014,91.166367,9536.6303
LGA14600,Lachlan (A),2010,72.282423,6684.7518
LGA14600,Lachlan (A),2011,85.39341,6702.5817
LGA14600,Lachlan (A),2012,78.848588,6734.5919
LGA14600,Lachlan (A),2013,75.090588,6747.9244
LGA14600,Lachlan (A),2014,63.878071,6767.7527
LGA14650,Lake Macquarie (C),2010,1695.1076,195196.61
LGA14650,Lake Macquarie (C),2011,1768.752,196798.88
LGA14650,Lake Macquarie (C),2012,1736.9592,198608.64
LGA14650,Lake Macquarie (C),2013,1821.0139,200710.24
LGA14650,Lake Macquarie (C),2014,1885.7645,202614.56
LGA14700,Lane Cove (A),2010,194.9383,32799.563
LGA14700,Lane Cove (A),2011,197.06352,33226.552
LGA14700,Lane Cove (A),2012,196.84517,33657.574
LGA14700,Lane Cove (A),2013,173.52682,34025.36
LGA14700,Lane Cove (A),2014,195.5468,34813.437
LGA14750,Leeton (A),2010,92.166632,11449.892
LGA14750,Leeton (A),2011,84.60916,11408.404
LGA14750,Leeton (A),2012,76.646284,11507.668
LGA14750,Leeton (A),2013,73.622803,11571.752
LGA14750,Leeton (A),2014,95.946847,11628.233
LGA14800,Leichhardt (A),2010,272.98974,54966.899
LGA14800,Leichhardt (A),2011,261.98883,55639.866
LGA14800,Leichhardt (A),2012,287.98826,56363.84
LGA14800,Leichhardt (A),2013,239.98957,57241.811
LGA14800,Leichhardt (A),2014,269.98883,58100.778
LGA14850,Lismore (C),2010,342.74944,44149.431
LGA14850,Lismore (C),2011,388.23545,44342.193
LGA14850,Lismore (C),2012,366.57758,44506.13
LGA14850,Lismore (C),2013,332.01855,44616.235
LGA14850,Lismore (C),2014,345.69349,44538.836
LGA14870,Lithgow (C),2010,164.07847,20727.398
LGA14870,Lithgow (C),2011,189.07704,20858.458
LGA14870,Lithgow (C),2012,198.07891,21003.333
LGA14870,Lithgow (C),2013,184.05959,21108.469
LGA14870,Lithgow (C),2014,184.07423,21235.758
LGA14900,Liverpool (C),2010,786.792,184837.53
LGA14900,Liverpool (C),2011,829.18445,188087.31
LGA14900,Liverpool (C),2012,814.3787,191391.19
LGA14900,Liverpool (C),2013,863.62721,195265.98
LGA14900,Liverpool (C),2014,881.20549,199692.33
LGA14920,Liverpool Plains (A),2010,90.030488,7741.053
LGA14920,Liverpool Plains (A),2011,81.019436,7764.0907
LGA14920,Liverpool Plains (A),2012,75.02782,7789.1624
LGA14920,Liverpool Plains (A),2013,78.025153,7760.1662
LGA14920,Liverpool Plains (A),2014,77.019817,7778.1692
LGA14950,Lockhart (A),2010,19.751918,3091.0464
LGA14950,Lockhart (A),2011,18.027004,3095.4096
LGA14950,Lockhart (A),2012,16.979264,3100.8616
LGA14950,Lockhart (A),2013,20.388894,3047.6206
LGA14950,Lockhart (A),2014,19.745636,3049.6696
LGA15050,Maitland (C),2010,392.62249,68466.719
LGA15050,Maitland (C),2011,412.06823,69921.672
LGA15050,Maitland (C),2012,425.88596,71882.271
LGA15050,Maitland (C),2013,428.93173,73432.396
LGA15050,Maitland (C),2014,458.33856,75176.184
LGA15150,Manly (A),2010,199,41899
LGA15150,Manly (A),2011,187,42818
LGA15150,Manly (A),2012,187,43412
LGA15150,Manly (A),2013,202,44214
LGA15150,Manly (A),2014,203,44757
LGA15200,Marrickville (A),2010,395.51585,80470.11
LGA15200,Marrickville (A),2011,433.93916,81116.735
LGA15200,Marrickville (A),2012,418.18694,81720.967
LGA15200,Marrickville (A),2013,371.88715,82464.847
LGA15200,Marrickville (A),2014,422.99415,83244.631
LGA15270,Mid-Western Regional (A),2010,202.23411,22735.918
LGA15270,Mid-Western Regional (A),2011,243.71216,23023.323
LGA15270,Mid-Western Regional (A),2012,221.08791,23548.103
LGA15270,Mid-Western Regional (A),2013,204.16944,23810.47
LGA15270,Mid-Western Regional (A),2014,208.23442,23956.883
LGA15300,Moree Plains (A),2010,88.893322,14024.478
LGA15300,Moree Plains (A),2011,105.29333,14041.318
LGA15300,Moree Plains (A),2012,112.35999,14174.198
LGA15300,Moree Plains (A),2013,92.66666,14230.398
LGA15300,Moree Plains (A),2014,116.19999,14162.345
LGA15350,Mosman (A),2010,198,29131
LGA15350,Mosman (A),2011,226,29351
LGA15350,Mosman (A),2012,207,29614
LGA15350,Mosman (A),2013,214,29971
LGA15350,Mosman (A),2014,183,30258
LGA15500,Murray (A),2010,63.324761,7179.0043
LGA15500,Murray (A),2011,74.946432,7184.2198
LGA15500,Murray (A),2012,57.757267,7300.4628
LGA15500,Murray (A),2013,65.676153,7371.0028
LGA15500,Murray (A),2014,69.351697,7431.9486
LGA15550,Murrumbidgee (A),2010,19.41847,2349.4567
LGA15550,Murrumbidgee (A),2011,14.073937,2346.6063
LGA15550,Murrumbidgee (A),2012,12.114275,2361.3928
LGA15550,Murrumbidgee (A),2013,14.60839,2354.6231
LGA15550,Murrumbidgee (A),2014,13.00503,2348.9223
LGA15650,Muswellbrook (A),2010,87,16108
LGA15650,Muswellbrook (A),2011,80,16328
LGA15650,Muswellbrook (A),2012,83,16673
LGA15650,Muswellbrook (A),2013,82,16843
LGA15650,Muswellbrook (A),2014,109,17034
LGA15700,Nambucca (A),2010,215.00634,19141.044
LGA15700,Nambucca (A),2011,214.01143,19236.038
LGA15700,Nambucca (A),2012,215.01429,19365.045
LGA15700,Nambucca (A),2013,201.02012,19520.066
LGA15700,Nambucca (A),2014,232.01638,19641.067
LGA15750,Narrabri (A),2010,116.05071,13392.211
LGA15750,Narrabri (A),2011,129.94668,13437.208
